time,34420a_volt,TMP117_room_temp
1733054143.302222,+5.26000000E-08,19.34
1733054148.5878043,+5.49700000E-08,19.35
1733054153.873132,+5.35200000E-08,19.34
1733054159.1587121,+5.24100000E-08,19.35
1733054164.444297,+5.16900000E-08,19.34
1733054169.730377,+5.18800000E-08,19.34
1733054175.0157046,+5.08400000E-08,19.34
1733054180.3014088,+5.31800000E-08,19.35
1733054185.5868685,+5.25900000E-08,19.35
1733054190.8725078,+5.31400000E-08,19.35
1733054196.1582725,+5.20100000E-08,19.35
1733054201.4439807,+5.07600000E-08,19.35
1733054206.7295694,+5.45400000E-08,19.35
1733054212.0151408,+5.25300000E-08,19.35
1733054217.3005261,+5.15100000E-08,19.35
1733054222.5859249,+5.32100000E-08,19.35
1733054227.871132,+5.10800000E-08,19.35
1733054233.1567137,+5.56200000E-08,19.35
1733054238.4422908,+5.34600000E-08,19.35
1733054243.7277465,+5.37400000E-08,19.35
1733054249.0135727,+5.52300000E-08,19.35
1733054254.2992756,+5.25400000E-08,19.35
1733054259.5848622,+5.27900000E-08,19.36
1733054264.870441,+5.47200000E-08,19.36
1733054270.1561584,+5.57300000E-08,19.35
1733054275.4416025,+5.43300000E-08,19.35
1733054280.7275577,+5.33900000E-08,19.36
1733054286.0131383,+5.65000000E-08,19.36
1733054291.2989829,+5.54800000E-08,19.36
1733054296.584674,+5.27700000E-08,19.36
1733054301.870353,+5.38500000E-08,19.36
1733054307.15597,+5.52400000E-08,19.36
1733054312.4416645,+5.30600000E-08,19.36
1733054317.7274923,+5.60500000E-08,19.36
1733054323.0128253,+5.35400000E-08,19.36
1733054328.298164,+5.16400000E-08,19.36
1733054333.5833619,+5.03200000E-08,19.36
1733054338.8688161,+5.29900000E-08,19.36
1733054344.1543746,+5.29900000E-08,19.37
1733054349.4401174,+5.24700000E-08,19.37
1733054354.7258122,+5.40600000E-08,19.37
1733054360.0114899,+5.38500000E-08,19.37
1733054365.2971041,+5.44800000E-08,19.37
1733054370.5829253,+5.29000000E-08,19.38
1733054375.8687334,+5.10100000E-08,19.38
1733054381.1542115,+5.45700000E-08,19.38
1733054386.439799,+5.26000000E-08,19.38
1733054391.7256207,+5.15800000E-08,19.38
1733054397.0115767,+5.52200000E-08,19.38
1733054402.2975612,+5.40000000E-08,19.38
1733054407.5836074,+5.54300000E-08,19.38
1733054412.8696935,+5.21600000E-08,19.38
1733054418.155639,+5.37300000E-08,19.38
1733054423.441346,+5.40500000E-08,19.38
1733054428.7269237,+5.45800000E-08,19.38
1733054434.0126367,+5.30400000E-08,19.38
1733054439.298205,+5.16900000E-08,19.38
1733054444.5837946,+5.38200000E-08,19.38
1733054449.8698666,+5.21400000E-08,19.38
1733054455.15545,+5.42700000E-08,19.38
1733054460.441284,+5.37100000E-08,19.38
1733054465.7271235,+5.09400000E-08,19.38
1733054471.012951,+5.32400000E-08,19.38
1733054476.2984047,+5.46600000E-08,19.38
